"","Method","Sequence","MSE"
"1","Random",1,10.1454933481182
"2","Random",2,10.1454933481182
"3","Random",3,10.1454933481182
"4","Random",4,10.1454933481182
"5","Random",5,10.1454933481182
"6","Random",6,10.1454933481182
"7","Random",7,10.1454933481182
"8","Random",8,10.1454933481182
"9","Random",9,10.1454933481182
"10","Random",10,10.1454933481182
"11","Random",11,10.1454933481182
"12","Random",12,10.1454933481182
"13","Random",13,10.1454933481182
"14","Random",14,10.1454933481182
"15","Random",15,10.1454933481182
"16","Random",16,10.1454933481182
"17","Random",17,10.1454933481182
"18","Random",18,10.1454933481182
"19","Random",19,10.1454933481182
"20","Random",20,10.1454933481182
"21","Random",21,10.1454933481182
"22","Random",22,10.1454933481182
"23","Random",23,10.1454933481182
"24","Random",24,10.1454933481182
"25","Random",25,10.1454933481182
"26","Random",26,10.1454933481182
"27","Random",27,10.1454933481182
"28","Random",28,10.1454933481182
"29","Random",29,10.1454933481182
"30","Random",30,10.1454933481182
"31","Random",31,10.1454933481182
"32","Random",32,10.1454933481182
"33","Random",33,10.1454933481182
"34","Random",34,10.1454933481182
"35","Random",35,10.1454933481182
"36","Random",36,10.1454933481182
"37","Random",37,10.1454933481182
"38","Random",38,10.1454933481182
"39","Random",39,10.1454933481182
"40","Random",40,10.1454933481182
"41","Linear-ALM",1,128.445867264357
"42","Linear-ALM",2,21.4314634692546
"43","Linear-ALM",3,11.5088832910759
"44","Linear-ALM",4,8.03616558951018
"45","Linear-ALM",5,6.64349720813226
"46","Linear-ALM",6,5.85793527608758
"47","Linear-ALM",7,5.30973266593842
"48","Linear-ALM",8,4.98635516332754
"49","Linear-ALM",9,4.78458998281849
"50","Linear-ALM",10,4.68108436864584
"51","Linear-ALM",11,4.56378304511833
"52","Linear-ALM",12,4.50346412461375
"53","Linear-ALM",13,4.43284890574259
"54","Linear-ALM",14,4.41627795451991
"55","Linear-ALM",15,4.36975586067986
"56","Linear-ALM",16,4.29463686658892
"57","Linear-ALM",17,4.28557930632034
"58","Linear-ALM",18,4.27900030158516
"59","Linear-ALM",19,4.26504278899359
"60","Linear-ALM",20,4.26217798759063
"61","Linear-ALM",21,4.24982691426368
"62","Linear-ALM",22,4.22534853375877
"63","Linear-ALM",23,4.21850786125447
"64","Linear-ALM",24,4.22286818379783
"65","Linear-ALM",25,4.22373138279521
"66","Linear-ALM",26,4.21513751036667
"67","Linear-ALM",27,4.19731164198971
"68","Linear-ALM",28,4.18576809683689
"69","Linear-ALM",29,4.18661234004671
"70","Linear-ALM",30,4.18141070764712
"71","Linear-ALM",31,4.1847753620386
"72","Linear-ALM",32,4.18007209286607
"73","Linear-ALM",33,4.18562799815418
"74","Linear-ALM",34,4.18856526509255
"75","Linear-ALM",35,4.19841074313082
"76","Linear-ALM",36,4.19610810670058
"77","Linear-ALM",37,4.19810085506499
"78","Linear-ALM",38,4.19042789037397
"79","Linear-ALM",39,4.18750931071211
"80","Linear-ALM",40,4.18688246708136
"81","Linear-ALC",1,190.27175431397
"82","Linear-ALC",2,76.1638032579028
"83","Linear-ALC",3,10.6158184124407
"84","Linear-ALC",4,8.10020096055693
"85","Linear-ALC",5,7.30770723734447
"86","Linear-ALC",6,6.43692074434927
"87","Linear-ALC",7,6.20394310270373
"88","Linear-ALC",8,6.00718211265846
"89","Linear-ALC",9,5.88679944791931
"90","Linear-ALC",10,5.76641955400447
"91","Linear-ALC",11,5.67072245772186
"92","Linear-ALC",12,5.56769552690867
"93","Linear-ALC",13,5.46348937299926
"94","Linear-ALC",14,5.40252205357379
"95","Linear-ALC",15,5.33340830086107
"96","Linear-ALC",16,5.2739570587934
"97","Linear-ALC",17,5.24194562281396
"98","Linear-ALC",18,5.20662634579316
"99","Linear-ALC",19,5.16455831354765
"100","Linear-ALC",20,5.13365482624679
"101","Linear-ALC",21,5.10590206496198
"102","Linear-ALC",22,5.0747299789499
"103","Linear-ALC",23,5.01862240213439
"104","Linear-ALC",24,4.99573449730972
"105","Linear-ALC",25,4.96318327336029
"106","Linear-ALC",26,4.9340492503302
"107","Linear-ALC",27,4.91391593578673
"108","Linear-ALC",28,4.91188909454973
"109","Linear-ALC",29,4.89269351187343
"110","Linear-ALC",30,4.85029383538267
"111","Linear-ALC",31,4.82648883106981
"112","Linear-ALC",32,4.78687090988799
"113","Linear-ALC",33,4.76307697672547
"114","Linear-ALC",34,4.74213579213712
"115","Linear-ALC",35,4.72214099421601
"116","Linear-ALC",36,4.69374654615358
"117","Linear-ALC",37,4.67637070154088
"118","Linear-ALC",38,4.64501384556346
"119","Linear-ALC",39,4.60651653364277
"120","Linear-ALC",40,4.58385321049467
"121","Quadratic-ALM",1,1261.80190809318
"122","Quadratic-ALM",2,26.5949882559883
"123","Quadratic-ALM",3,21.2122827655618
"124","Quadratic-ALM",4,19.1924799809159
"125","Quadratic-ALM",5,15.2346740376526
"126","Quadratic-ALM",6,11.7484199309868
"127","Quadratic-ALM",7,11.2085951102224
"128","Quadratic-ALM",8,9.16081370209947
"129","Quadratic-ALM",9,8.25451131174079
"130","Quadratic-ALM",10,7.84209906076045
"131","Quadratic-ALM",11,7.079221650348
"132","Quadratic-ALM",12,6.74823683747299
"133","Quadratic-ALM",13,6.52125787913182
"134","Quadratic-ALM",14,6.11826391105487
"135","Quadratic-ALM",15,5.89226968947644
"136","Quadratic-ALM",16,5.77700417899885
"137","Quadratic-ALM",17,5.62782079428666
"138","Quadratic-ALM",18,5.49817237962641
"139","Quadratic-ALM",19,5.39818586354689
"140","Quadratic-ALM",20,5.33024565382596
"141","Quadratic-ALM",21,5.23345335220625
"142","Quadratic-ALM",22,5.19104927524304
