"","Method","Sequence","MSE"
"1","Random",1,4.09538009241282
"2","Random",2,4.09538009241282
"3","Random",3,4.09538009241282
"4","Random",4,4.09538009241282
"5","Random",5,4.09538009241282
"6","Random",6,4.09538009241282
"7","Random",7,4.09538009241282
"8","Random",8,4.09538009241282
"9","Random",9,4.09538009241282
"10","Random",10,4.09538009241282
"11","Random",11,4.09538009241282
"12","Random",12,4.09538009241282
"13","Random",13,4.09538009241282
"14","Random",14,4.09538009241282
"15","Random",15,4.09538009241282
"16","Random",16,4.09538009241282
"17","Random",17,4.09538009241282
"18","Random",18,4.09538009241282
"19","Random",19,4.09538009241282
"20","Random",20,4.09538009241282
"21","Random",21,4.09538009241282
"22","Random",22,4.09538009241282
"23","Random",23,4.09538009241282
"24","Random",24,4.09538009241282
"25","Random",25,4.09538009241282
"26","Random",26,4.09538009241282
"27","Random",27,4.09538009241282
"28","Random",28,4.09538009241282
"29","Random",29,4.09538009241282
"30","Random",30,4.09538009241282
"31","Random",31,4.09538009241282
"32","Random",32,4.09538009241282
"33","Random",33,4.09538009241282
"34","Random",34,4.09538009241282
"35","Random",35,4.09538009241282
"36","Random",36,4.09538009241282
"37","Random",37,4.09538009241282
"38","Random",38,4.09538009241282
"39","Random",39,4.09538009241282
"40","Random",40,4.09538009241282
"41","Linear-UCB",1,3.88982912
"42","Linear-UCB",2,4.0568896
"43","Linear-UCB",3,3.0531904
"44","Linear-UCB",4,2.08518336
"45","Linear-UCB",5,1.36080768
"46","Linear-UCB",6,1.16103552
"47","Linear-UCB",7,1.04030784
"48","Linear-UCB",8,0.664718079999999
"49","Linear-UCB",9,0.598858239999999
"50","Linear-UCB",10,0.599046399999999
"51","Linear-UCB",11,0.495860479999999
"52","Linear-UCB",12,0.389719039999999
"53","Linear-UCB",13,0.2862912
"54","Linear-UCB",14,0.294288639999999
"55","Linear-UCB",15,0.2595232
"56","Linear-UCB",16,0.2749536
"57","Linear-UCB",17,0.19774464
"58","Linear-UCB",18,0.17896256
"59","Linear-UCB",19,0.1982976
"60","Linear-UCB",20,0.0995231999999997
"61","Linear-UCB",21,0.0995231999999997
"62","Linear-UCB",22,0.0956185599999998
"63","Linear-UCB",23,0.0917139199999998
"64","Linear-UCB",24,0.0917139199999998
"65","Linear-UCB",25,0.0917139199999998
"66","Linear-UCB",26,0.0839046399999999
"67","Linear-UCB",27,0.0878092799999999
"68","Linear-UCB",28,0.0839046399999999
"69","Linear-UCB",29,0.0878092799999999
"70","Linear-UCB",30,0.08
"71","Linear-UCB",31,0.07609536
"72","Linear-UCB",32,0.0917139199999998
"73","Linear-UCB",33,0.0878092799999999
"74","Linear-UCB",34,0.08
"75","Linear-UCB",35,0.0839046399999999
"76","Linear-UCB",36,0.0839046399999999
"77","Linear-UCB",37,0.0839046399999999
"78","Linear-UCB",38,0.0839046399999999
"79","Linear-UCB",39,0.08
"80","Linear-UCB",40,0.0839046399999999
"81","Linear-Thompson",1,4.4434304
"82","Linear-Thompson",2,4.09072448
"83","Linear-Thompson",3,3.76974464
"84","Linear-Thompson",4,3.45000064
"85","Linear-Thompson",5,3.38623808
"86","Linear-Thompson",6,2.91235392
"87","Linear-Thompson",7,2.6311712
"88","Linear-Thompson",8,2.58399808
"89","Linear-Thompson",9,2.54516928
"90","Linear-Thompson",10,2.21578368
"91","Linear-Thompson",11,1.95534656
"92","Linear-Thompson",12,2.0290528
"93","Linear-Thompson",13,1.841568
"94","Linear-Thompson",14,1.69143296
"95","Linear-Thompson",15,1.54673407999999
"96","Linear-Thompson",16,1.77925312
"97","Linear-Thompson",17,1.43954944
"98","Linear-Thompson",18,1.34180416
"99","Linear-Thompson",19,1.23331264
"100","Linear-Thompson",20,1.25333759999999
"101","Linear-Thompson",21,1.0326816
"102","Linear-Thompson",22,1.24257024
"103","Linear-Thompson",23,1.06477504
"104","Linear-Thompson",24,0.997597439999996
"105","Linear-Thompson",25,0.833553279999998
"106","Linear-Thompson",26,0.868133759999996
"107","Linear-Thompson",27,0.868026239999997
"108","Linear-Thompson",28,0.943002879999996
"109","Linear-Thompson",29,0.839626239999996
"110","Linear-Thompson",30,0.638351999999996
"111","Linear-Thompson",31,0.754398079999996
"112","Linear-Thompson",32,0.675116799999995
"113","Linear-Thompson",33,0.841652479999995
"114","Linear-Thompson",34,0.796948479999996
"115","Linear-Thompson",35,0.707205119999996
