,alpha,mu,weight
0,0.01,4.22211984921,0.01
1,0.01,3.86088959779,0.02
2,0.01,3.55393465608,0.03
3,0.01,3.2924785943,0.04
4,0.01,3.06608707389,0.05
5,0.01,2.86395324871,0.06
6,0.01,2.676099103,0.07
7,0.01,2.49452504353,0.08
8,0.01,2.31434166767,0.09
9,0.01,2.13491908708,0.1
10,0.01,1.96102682473,0.11
11,0.01,1.80240788317,0.12
12,0.01,1.66929563044,0.13
13,0.01,1.56749228485,0.14
14,0.01,1.49685894999,0.15
15,0.01,1.45244903137,0.16
16,0.01,1.42631797644,0.17
17,0.01,1.40925767066,0.18
18,0.01,1.39217736458,0.19
19,0.01,1.3674368642,0.2
20,0.01,1.33027926981,0.21
21,0.01,1.27933939244,0.22
22,0.01,1.21521059644,0.23
23,0.01,1.13983921508,0.24
24,0.01,1.05662984298,0.25
25,0.01,0.970529042158,0.26
26,0.01,0.887930248722,0.27
27,0.01,0.81614393941,0.28
28,0.01,0.762225671195,0.29
29,0.01,0.731543707594,0.3
30,0.01,0.726406789287,0.31
31,0.01,0.745347032402,0.32
32,0.01,0.783517661501,0.33
33,0.01,0.833538075658,0.34
34,0.01,0.88675765476,0.35
35,0.01,0.934439826544,0.36
36,0.01,0.969627256236,0.37
37,0.01,0.989803862878,0.38
38,0.01,0.998098362154,0.39
39,0.01,1.00044943563,0.4
40,0.01,1.00173296689,0.41
41,0.01,1.00313604276,0.42
42,0.01,1.00146049748,0.43
43,0.01,0.990694740625,0.44
44,0.01,0.964562504591,0.45
45,0.01,0.919946762248,0.46
46,0.01,0.859987933198,0.47
47,0.01,0.79243852714,0.48
48,0.01,0.726126088558,0.49
49,0.01,0.667855019981,0.5
50,0.01,0.620865263097,0.51
51,0.01,0.585362821601,0.52
52,0.01,0.559773595982,0.53
53,0.01,0.54190588509,0.54
54,0.01,0.529661045855,0.55
55,0.01,0.521428523904,0.56
56,0.01,0.516466748014,0.57
57,0.01,0.515213685878,0.58
58,0.01,0.518798918168,0.59
59,0.01,0.528693920101,0.6
60,0.01,0.546725291878,0.61
61,0.01,0.575330627965,0.62
62,0.01,0.618005506315,0.63
63,0.01,0.67972726875,0.64
64,0.01,0.766926267405,0.65
65,0.01,0.887272236428,0.66
66,0.01,1.04898558169,0.67
67,0.01,1.25888459939,0.68
68,0.01,1.52055696194,0.69
69,0.01,1.83388280178,0.7
70,0.01,2.19528202415,0.71
71,0.01,2.59825177706,0.72
72,0.01,3.03410445778,0.73
73,0.01,3.49279666859,0.74
74,0.01,3.96371936543,0.75
75,0.01,4.4363251477,0.76
76,0.01,4.90067081045,0.77
77,0.01,5.34810638276,0.78
78,0.01,5.7717773865,0.79
79,0.01,6.16678173236,0.8
80,0.01,6.53005862435,0.81
81,0.01,6.86012719851,0.82
82,0.01,7.15680237152,0.83
83,0.01,7.42100443522,0.84
84,0.01,7.65475363303,0.85
85,0.01,7.86139918041,0.86
86,0.01,8.04605378124,0.87
87,0.01,8.21608314036,0.88
88,0.01,8.38139911162,0.89
89,0.01,8.55432142896,0.9
90,0.01,8.74891708109,0.91
91,0.01,8.97990892204,0.92
92,0.01,9.26137133897,0.93
93,0.01,9.60546417511,0.94
94,0.01,10.0214141345,0.95
95,0.01,10.5148750612,0.96
96,0.01,11.0877191404,0.97
97,0.01,11.7382491184,0.98
98,0.01,12.4617827241,0.99
99,0.02,7.17285668583,0.01
100,0.02,6.68267655758,0.02
101,0.02,6.23833158091,0.03
102,0.02,5.83255863727,0.04
103,0.02,5.45660554688,0.05
104,0.02,5.10148707971,0.06
105,0.02,4.75915440745,0.07
106,0.02,4.42360725581,0.08
107,0.02,4.091982793,0.09
108,0.02,3.7656470028,0.1
109,0.02,3.4511042426,0.11
110,0.02,3.15920144283,0.12
111,0.02,2.90104985991,0.13
112,0.02,2.68352458181,0.14
113,0.02,2.50761627554,0.15
114,0.02,2.36928765478,0.16
115,0.02,2.26116378633,0.17
116,0.02,2.17421060002,0.18
117,0.02,2.09915138923,0.19
118,0.02,2.02782781895,0.2
119,0.02,1.95454942966,0.21
120,0.02,1.87651104256,0.22
121,0.02,1.7927824389,0.23
122,0.02,1.70374797213,0.24
123,0.02,1.61121220331,0.25
124,0.02,1.51855901468,0.26
125,0.02,1.43068608858,0.27
126,0.02,1.35338586703,0.28
127,0.02,1.29213176696,0.29
128,0.02,1.25063725153,0.3
129,0.02,1.22958270838,0.31
130,0.02,1.22610977433,0.32
131,0.02,1.23442340582,0.33
132,0.02,1.24701873501,0.34
133,0.02,1.25615403401,0.35
134,0.02,1.25511035299,0.36
135,0.02,1.23969939956,0.37
136,0.02,1.21013967492,0.38
137,0.02,1.17149070078,0.39
138,0.02,1.13096429186,0.4
139,0.02,1.09428015634,0.41
140,0.02,1.06320221422,0.42
