"","Method","Sequence","MSE"
"1","Random",1,12.731376562198
"2","Random",2,12.731376562198
"3","Random",3,12.731376562198
"4","Random",4,12.731376562198
"5","Random",5,12.731376562198
"6","Random",6,12.731376562198
"7","Random",7,12.731376562198
"8","Random",8,12.731376562198
"9","Random",9,12.731376562198
"10","Random",10,12.731376562198
"11","Random",11,12.731376562198
"12","Random",12,12.731376562198
"13","Random",13,12.731376562198
"14","Random",14,12.731376562198
"15","Random",15,12.731376562198
"16","Random",16,12.731376562198
"17","Random",17,12.731376562198
"18","Random",18,12.731376562198
"19","Random",19,12.731376562198
"20","Random",20,12.731376562198
"21","Random",21,12.731376562198
"22","Random",22,12.731376562198
"23","Random",23,12.731376562198
"24","Random",24,12.731376562198
"25","Random",25,12.731376562198
"26","Random",26,12.731376562198
"27","Random",27,12.731376562198
"28","Random",28,12.731376562198
"29","Random",29,12.731376562198
"30","Random",30,12.731376562198
"31","Random",31,12.731376562198
"32","Random",32,12.731376562198
"33","Random",33,12.731376562198
"34","Random",34,12.731376562198
"35","Random",35,12.731376562198
"36","Random",36,12.731376562198
"37","Random",37,12.731376562198
"38","Random",38,12.731376562198
"39","Random",39,12.731376562198
"40","Random",40,12.731376562198
"41","Linear-ALM",1,90.3616301062677
"42","Linear-ALM",2,15.8499208667179
"43","Linear-ALM",3,8.03976755327523
"44","Linear-ALM",4,4.94028511774445
"45","Linear-ALM",5,3.26678906206114
"46","Linear-ALM",6,2.3617504703813
"47","Linear-ALM",7,1.78322968652966
"48","Linear-ALM",8,1.39082577439374
"49","Linear-ALM",9,1.14124597053711
"50","Linear-ALM",10,0.947959072546204
"51","Linear-ALM",11,0.795235977703257
"52","Linear-ALM",12,0.66826032836832
"53","Linear-ALM",13,0.591044011883435
"54","Linear-ALM",14,0.523811974242265
"55","Linear-ALM",15,0.459152432708381
"56","Linear-ALM",16,0.418507264352461
"57","Linear-ALM",17,0.382033168220597
"58","Linear-ALM",18,0.349403525389337
"59","Linear-ALM",19,0.321565843841748
"60","Linear-ALM",20,0.302055613731693
"61","Linear-ALM",21,0.274692274445684
"62","Linear-ALM",22,0.250580623772924
"63","Linear-ALM",23,0.230158256470519
"64","Linear-ALM",24,0.218085623513379
"65","Linear-ALM",25,0.199604401807461
"66","Linear-ALM",26,0.186347311065375
"67","Linear-ALM",27,0.17210390454733
"68","Linear-ALM",28,0.161566384913552
"69","Linear-ALM",29,0.151646104830638
"70","Linear-ALM",30,0.144855502245115
"71","Linear-ALM",31,0.140400050885776
"72","Linear-ALM",32,0.134284742748975
"73","Linear-ALM",33,0.125740392166745
"74","Linear-ALM",34,0.119757494024891
"75","Linear-ALM",35,0.111731261541215
"76","Linear-ALM",36,0.107987360979269
"77","Linear-ALM",37,0.103049710537901
"78","Linear-ALM",38,0.097336945688726
"79","Linear-ALM",39,0.0929599872338114
"80","Linear-ALM",40,0.0911458459131853
"81","Linear-ALC",1,190.356895931878
"82","Linear-ALC",2,28.2206402058224
"83","Linear-ALC",3,7.00277394259878
"84","Linear-ALC",4,5.07207339618795
"85","Linear-ALC",5,4.81248131528322
"86","Linear-ALC",6,4.59890712426393
"87","Linear-ALC",7,4.50951126649277
"88","Linear-ALC",8,4.45711126278693
"89","Linear-ALC",9,4.40128182189083
"90","Linear-ALC",10,4.24522242323241
"91","Linear-ALC",11,4.23064576501456
"92","Linear-ALC",12,4.20143546086782
"93","Linear-ALC",13,4.19042886458473
"94","Linear-ALC",14,4.17598462553632
"95","Linear-ALC",15,4.15634520996147
"96","Linear-ALC",16,4.10036521350344
"97","Linear-ALC",17,4.10133494943964
"98","Linear-ALC",18,4.09737944934412
"99","Linear-ALC",19,4.07358659421487
"100","Linear-ALC",20,4.05302146364617
"101","Linear-ALC",21,4.03510758326368
"102","Linear-ALC",22,4.02405771998619
"103","Linear-ALC",23,4.01263420462883
"104","Linear-ALC",24,4.003413500857
"105","Linear-ALC",25,4.00624595301987
"106","Linear-ALC",26,3.98917563104548
"107","Linear-ALC",27,3.98128436782734
"108","Linear-ALC",28,3.9792366656115
"109","Linear-ALC",29,3.89823946864825
"110","Linear-ALC",30,3.88995131525055
"111","Linear-ALC",31,3.87474890246995
"112","Linear-ALC",32,3.86587830396028
"113","Linear-ALC",33,3.86314862029679
"114","Linear-ALC",34,3.85945745445555
"115","Linear-ALC",35,3.85878002375764
"116","Linear-ALC",36,3.76884026014894
"117","Linear-ALC",37,3.765780331551
"118","Linear-ALC",38,3.77092496461797
"119","Linear-ALC",39,3.7717045042611
"120","Linear-ALC",40,3.77663965563965
"121","Quadratic-ALM",1,5890.27446350935
"122","Quadratic-ALM",2,20.6793174920286
"123","Quadratic-ALM",3,16.4343466521337
"124","Quadratic-ALM",4,13.7522952615208
"125","Quadratic-ALM",5,9.97829057519716
"126","Quadratic-ALM",6,7.46906576697461
"127","Quadratic-ALM",7,6.62977706478832
"128","Quadratic-ALM",8,4.91033870372046
"129","Quadratic-ALM",9,4.17631032402554
"130","Quadratic-ALM",10,3.76326718436872
"131","Quadratic-ALM",11,3.10372793214169
"132","Quadratic-ALM",12,2.68794593720494
"133","Quadratic-ALM",13,2.37865435737982
"134","Quadratic-ALM",14,2.08701216314425
"135","Quadratic-ALM",15,1.85327256416344
"136","Quadratic-ALM",16,1.72139120268013
"137","Quadratic-ALM",17,1.53126554758205
"138","Quadratic-ALM",18,1.39559471824548
"139","Quadratic-ALM",19,1.30810949963397
