"","Method","Sequence","MSE"
"1","Random",1,2.97941820571723
"2","Random",2,2.97941820571723
"3","Random",3,2.97941820571723
"4","Random",4,2.97941820571723
"5","Random",5,2.97941820571723
"6","Random",6,2.97941820571723
"7","Random",7,2.97941820571723
"8","Random",8,2.97941820571723
"9","Random",9,2.97941820571723
"10","Random",10,2.97941820571723
"11","Random",11,2.97941820571723
"12","Random",12,2.97941820571723
"13","Random",13,2.97941820571723
"14","Random",14,2.97941820571723
"15","Random",15,2.97941820571723
"16","Random",16,2.97941820571723
"17","Random",17,2.97941820571723
"18","Random",18,2.97941820571723
"19","Random",19,2.97941820571723
"20","Random",20,2.97941820571723
"21","Random",21,2.97941820571723
"22","Random",22,2.97941820571723
"23","Random",23,2.97941820571723
"24","Random",24,2.97941820571723
"25","Random",25,2.97941820571723
"26","Random",26,2.97941820571723
"27","Random",27,2.97941820571723
"28","Random",28,2.97941820571723
"29","Random",29,2.97941820571723
"30","Random",30,2.97941820571723
"31","Random",31,2.97941820571723
"32","Random",32,2.97941820571723
"33","Random",33,2.97941820571723
"34","Random",34,2.97941820571723
"35","Random",35,2.97941820571723
"36","Random",36,2.97941820571723
"37","Random",37,2.97941820571723
"38","Random",38,2.97941820571723
"39","Random",39,2.97941820571723
"40","Random",40,2.97941820571723
"41","Linear-UCB",1,3.5329
"42","Linear-UCB",2,3.78
"43","Linear-UCB",3,2.3219
"44","Linear-UCB",4,1.7675
"45","Linear-UCB",5,1.2873
"46","Linear-UCB",6,1.0724
"47","Linear-UCB",7,0.9996
"48","Linear-UCB",8,0.7847
"49","Linear-UCB",9,0.7126
"50","Linear-UCB",10,0.5719
"51","Linear-UCB",11,0.3619
"52","Linear-UCB",12,0.3577
"53","Linear-UCB",13,0.2877
"54","Linear-UCB",14,0.2891
"55","Linear-UCB",15,0.2177
"56","Linear-UCB",16,0.2163
"57","Linear-UCB",17,0.2135
"58","Linear-UCB",18,0.2163
"59","Linear-UCB",19,0.2142
"60","Linear-UCB",20,0.147
"61","Linear-UCB",21,0.1463
"62","Linear-UCB",22,0.1442
"63","Linear-UCB",23,0.0798
"64","Linear-UCB",24,0.0721
"65","Linear-UCB",25,0.0707
"66","Linear-UCB",26,0.0728
"67","Linear-UCB",27,0.0728
"68","Linear-UCB",28,0.0721
"69","Linear-UCB",29,0.0721
"70","Linear-UCB",30,0.0721
"71","Linear-UCB",31,0.0728
"72","Linear-UCB",32,0.0707
"73","Linear-UCB",33,0.0728
"74","Linear-UCB",34,0.0714
"75","Linear-UCB",35,0.07
"76","Linear-UCB",36,0.07
"77","Linear-UCB",37,0.07
"78","Linear-UCB",38,0.07
"79","Linear-UCB",39,0.0714
"80","Linear-UCB",40,0.0707
"81","Linear-Thompson",1,3.4937
"82","Linear-Thompson",2,3.0051
"83","Linear-Thompson",3,2.5333
"84","Linear-Thompson",4,2.2736
"85","Linear-Thompson",5,1.9873
"86","Linear-Thompson",6,1.8424
"87","Linear-Thompson",7,1.5568
"88","Linear-Thompson",8,1.3734
"89","Linear-Thompson",9,1.2509
"90","Linear-Thompson",10,1.2096
"91","Linear-Thompson",11,0.9422
"92","Linear-Thompson",12,0.9149
"93","Linear-Thompson",13,0.8869
"94","Linear-Thompson",14,0.7868
"95","Linear-Thompson",15,0.7042
"96","Linear-Thompson",16,0.5999
"97","Linear-Thompson",17,0.6062
"98","Linear-Thompson",18,0.5579
"99","Linear-Thompson",19,0.5306
"100","Linear-Thompson",20,0.511
"101","Linear-Thompson",21,0.5488
"102","Linear-Thompson",22,0.518
"103","Linear-Thompson",23,0.4984
"104","Linear-Thompson",24,0.4704
"105","Linear-Thompson",25,0.4606
"106","Linear-Thompson",26,0.392
"107","Linear-Thompson",27,0.3808
"108","Linear-Thompson",28,0.3969
"109","Linear-Thompson",29,0.3423
"110","Linear-Thompson",30,0.3773
"111","Linear-Thompson",31,0.2912
"112","Linear-Thompson",32,0.2961
"113","Linear-Thompson",33,0.2758
"114","Linear-Thompson",34,0.2464
"115","Linear-Thompson",35,0.2093
"116","Linear-Thompson",36,0.2387
"117","Linear-Thompson",37,0.2233
"118","Linear-Thompson",38,0.2177
"119","Linear-Thompson",39,0.2156
"120","Linear-Thompson",40,0.2128
"121","Quadratic-UCB",1,3.409
"122","Quadratic-UCB",2,3.1773
"123","Quadratic-UCB",3,1.8347
"124","Quadratic-UCB",4,1.0962
"125","Quadratic-UCB",5,1.1277
"126","Quadratic-UCB",6,0.8932
"127","Quadratic-UCB",7,0.9891
"128","Quadratic-UCB",8,0.9373
"129","Quadratic-UCB",9,0.8687
"130","Quadratic-UCB",10,0.8904
"131","Quadratic-UCB",11,0.8589
"132","Quadratic-UCB",12,0.8253
"133","Quadratic-UCB",13,0.8351
"134","Quadratic-UCB",14,0.9541
"135","Quadratic-UCB",15,0.8442
"136","Quadratic-UCB",16,0.8729
"137","Quadratic-UCB",17,0.8316
"138","Quadratic-UCB",18,0.7917
"139","Quadratic-UCB",19,0.8078
"140","Quadratic-UCB",20,0.9198
"141","Quadratic-UCB",21,0.8442
"142","Quadratic-UCB",22,0.8841
"143","Quadratic-UCB",23,0.8127
"144","Quadratic-UCB",24,0.812
"145","Quadratic-UCB",25,0.7952
"146","Quadratic-UCB",26,0.7707
"147","Quadratic-UCB",27,0.7861
"148","Quadratic-UCB",28,0.7924
"149","Quadratic-UCB",29,0.7777
"150","Quadratic-UCB",30,0.8365
"151","Quadratic-UCB",31,0.7588
"152","Quadratic-UCB",32,0.8099
"153","Quadratic-UCB",33,0.7385
"154","Quadratic-UCB",34,0.7392
"155","Quadratic-UCB",35,0.8253
"156","Quadratic-UCB",36,0.7308
"157","Quadratic-UCB",37,0.7525
"158","Quadratic-UCB",38,0.7469
"159","Quadratic-UCB",39,0.7546
"160","Quadratic-UCB",40,0.707
"161","Quadratic-Thompson",1,3.4363
"162","Quadratic-Thompson",2,2.9505
"163","Quadratic-Thompson",3,2.7783
"164","Quadratic-Thompson",4,2.0496
"165","Quadratic-Thompson",5,2.0202
"166","Quadratic-Thompson",6,1.8571
"167","Quadratic-Thompson",7,1.6296
"168","Quadratic-Thompson",8,1.5274
