"","Method","Sequence","MSE"
"1","Random",1,13.157710378398
"2","Random",2,13.157710378398
"3","Random",3,13.157710378398
"4","Random",4,13.157710378398
"5","Random",5,13.157710378398
"6","Random",6,13.157710378398
"7","Random",7,13.157710378398
"8","Random",8,13.157710378398
"9","Random",9,13.157710378398
"10","Random",10,13.157710378398
"11","Random",11,13.157710378398
"12","Random",12,13.157710378398
"13","Random",13,13.157710378398
"14","Random",14,13.157710378398
"15","Random",15,13.157710378398
"16","Random",16,13.157710378398
"17","Random",17,13.157710378398
"18","Random",18,13.157710378398
"19","Random",19,13.157710378398
"20","Random",20,13.157710378398
"21","Random",21,13.157710378398
"22","Random",22,13.157710378398
"23","Random",23,13.157710378398
"24","Random",24,13.157710378398
"25","Random",25,13.157710378398
"26","Random",26,13.157710378398
"27","Random",27,13.157710378398
"28","Random",28,13.157710378398
"29","Random",29,13.157710378398
"30","Random",30,13.157710378398
"31","Random",31,13.157710378398
"32","Random",32,13.157710378398
"33","Random",33,13.157710378398
"34","Random",34,13.157710378398
"35","Random",35,13.157710378398
"36","Random",36,13.157710378398
"37","Random",37,13.157710378398
"38","Random",38,13.157710378398
"39","Random",39,13.157710378398
"40","Random",40,13.157710378398
"41","Linear-ALM",1,167.450738255586
"42","Linear-ALM",2,30.3175303498455
"43","Linear-ALM",3,16.7523660537693
"44","Linear-ALM",4,11.2954995903254
"45","Linear-ALM",5,8.7511995976686
"46","Linear-ALM",6,7.02107660080623
"47","Linear-ALM",7,5.89823198948647
"48","Linear-ALM",8,5.19029496698455
"49","Linear-ALM",9,4.66132486144286
"50","Linear-ALM",10,4.16681189960923
"51","Linear-ALM",11,3.84450755866864
"52","Linear-ALM",12,3.58003948694946
"53","Linear-ALM",13,3.37408721277721
"54","Linear-ALM",14,3.17322925392145
"55","Linear-ALM",15,3.04418085178125
"56","Linear-ALM",16,2.90607805050492
"57","Linear-ALM",17,2.82659528436599
"58","Linear-ALM",18,2.69977932984025
"59","Linear-ALM",19,2.6085715962504
"60","Linear-ALM",20,2.51160806095771
"61","Linear-ALM",21,2.45292331889123
"62","Linear-ALM",22,2.40450815101819
"63","Linear-ALM",23,2.36115626806075
"64","Linear-ALM",24,2.32151619548477
"65","Linear-ALM",25,2.27684212625115
"66","Linear-ALM",26,2.2315431620631
"67","Linear-ALM",27,2.19552307020412
"68","Linear-ALM",28,2.14245515105674
"69","Linear-ALM",29,2.11359073894032
"70","Linear-ALM",30,2.09020453899635
"71","Linear-ALM",31,2.06263999794452
"72","Linear-ALM",32,2.04062201114911
"73","Linear-ALM",33,2.01796493363379
"74","Linear-ALM",34,1.9901285048131
"75","Linear-ALM",35,1.97470655982195
"76","Linear-ALM",36,1.95017225793295
"77","Linear-ALM",37,1.93156896527267
"78","Linear-ALM",38,1.91008988687485
"79","Linear-ALM",39,1.88828185787174
"80","Linear-ALM",40,1.88211856034298
"81","Linear-ALC",1,233.046622255696
"82","Linear-ALC",2,53.3100852560816
"83","Linear-ALC",3,14.8185737620476
"84","Linear-ALC",4,11.4939831892987
"85","Linear-ALC",5,10.5499530259567
"86","Linear-ALC",6,10.0765969166583
"87","Linear-ALC",7,9.86714423406396
"88","Linear-ALC",8,9.67324850112979
"89","Linear-ALC",9,9.42157297109111
"90","Linear-ALC",10,9.28707618950425
"91","Linear-ALC",11,9.19737885513529
"92","Linear-ALC",12,9.07651968137154
"93","Linear-ALC",13,8.99212349363587
"94","Linear-ALC",14,8.91176572115393
"95","Linear-ALC",15,8.88502512389304
"96","Linear-ALC",16,8.73518005989494
"97","Linear-ALC",17,8.66399405341677
"98","Linear-ALC",18,8.62767134406933
"99","Linear-ALC",19,8.57543883197852
"100","Linear-ALC",20,8.51986283903693
"101","Linear-ALC",21,8.44415057225992
"102","Linear-ALC",22,8.40391813922498
"103","Linear-ALC",23,8.37363199673524
"104","Linear-ALC",24,8.32228563091475
"105","Linear-ALC",25,8.29864885388598
"106","Linear-ALC",26,8.27763801099731
"107","Linear-ALC",27,8.25627934830898
"108","Linear-ALC",28,8.21828016979614
"109","Linear-ALC",29,8.16553761578874
"110","Linear-ALC",30,8.1352234892899
"111","Linear-ALC",31,8.10073151437481
"112","Linear-ALC",32,8.08976058968772
"113","Linear-ALC",33,8.06808668801608
"114","Linear-ALC",34,8.03908488264018
"115","Linear-ALC",35,8.01666188257281
"116","Linear-ALC",36,8.00116953058851
"117","Linear-ALC",37,7.97857518032365
"118","Linear-ALC",38,7.94743292751245
"119","Linear-ALC",39,7.92677797647966
"120","Linear-ALC",40,7.90956586694842
"121","Quadratic-ALM",1,2375.81215781354
"122","Quadratic-ALM",2,36.6423587340798
"123","Quadratic-ALM",3,28.7800453155899
"124","Quadratic-ALM",4,24.4997259285594
"125","Quadratic-ALM",5,20.5198370231669
"126","Quadratic-ALM",6,14.7040607906899
"127","Quadratic-ALM",7,12.5297036697292
"128","Quadratic-ALM",8,10.327051552559
"129","Quadratic-ALM",9,7.90473598468265
"130","Quadratic-ALM",10,7.01456682631837
"131","Quadratic-ALM",11,6.01771329007879
"132","Quadratic-ALM",12,5.12659507415858
"133","Quadratic-ALM",13,4.47290729746711
"134","Quadratic-ALM",14,4.04598466579767
"135","Quadratic-ALM",15,3.50763803473597
"136","Quadratic-ALM",16,3.25844381898591
"137","Quadratic-ALM",17,2.96624432489401
"138","Quadratic-ALM",18,2.56511848636704
"139","Quadratic-ALM",19,2.38140311852116
"140","Quadratic-ALM",20,2.19180167431926
"141","Quadratic-ALM",21,1.95900394452868
"142","Quadratic-ALM",22,1.82585503089088
"143","Quadratic-ALM",23,1.70092996926115
"144","Quadratic-ALM",24,1.54013928292038
"145","Quadratic-ALM",25,1.4639642604782
"146","Quadratic-ALM",26,1.38888846090663
"147","Quadratic-ALM",27,1.30316036745015
"148","Quadratic-ALM",28,1.21459138268431
"149","Quadratic-ALM",29,1.17409051849001
"150","Quadratic-ALM",30,1.10574733747165
"151","Quadratic-ALM",31,1.05182388876687
"152","Quadratic-ALM",32,0.9885863831173
"153","Quadratic-ALM",33,0.935238396045884
"154","Quadratic-ALM",34,0.902954735182409
"155","Quadratic-ALM",35,0.877113820935957
"156","Quadratic-ALM",36,0.834202780352473
"157","Quadratic-ALM",37,0.802627476725837
"158","Quadratic-ALM",38,0.765601601646964
"159","Quadratic-ALM",39,0.737569605901914
"160","Quadratic-ALM",40,0.709563881466885
"161","Quadratic-ALC",1,4231.72617200053
"162","Quadratic-ALC",2,123.059160257308
"163","Quadratic-ALC",3,23.8642835261194
"164","Quadratic-ALC",4,13.8276242454221
"165","Quadratic-ALC",5,11.2666052642611
"166","Quadratic-ALC",6,9.85528996747988
"167","Quadratic-ALC",7,8.65154130319986
"168","Quadratic-ALC",8,8.16835476663927
"169","Quadratic-ALC",9,7.7306730622312
"170","Quadratic-ALC",10,7.41279009837593
"171","Quadratic-ALC",11,7.07375906957901
"172","Quadratic-ALC",12,6.86325389363037
"173","Quadratic-ALC",13,6.757622399878
"174","Quadratic-ALC",14,6.60482036593894
"175","Quadratic-ALC",15,6.48855223563001
"176","Quadratic-ALC",16,6.43345325766746
"177","Quadratic-ALC",17,6.3802187851474
"178","Quadratic-ALC",18,6.30265805823632
"179","Quadratic-ALC",19,6.2384797026423
"180","Quadratic-ALC",20,6.14445524231335
"181","Quadratic-ALC",21,6.07012488367909
"182","Quadratic-ALC",22,6.02302319401998
"183","Quadratic-ALC",23,5.95352384882133
"184","Quadratic-ALC",24,5.92189738837329
"185","Quadratic-ALC",25,5.88730022385897
"186","Quadratic-ALC",26,5.85180280874148
"187","Quadratic-ALC",27,5.82600884408873
"188","Quadratic-ALC",28,5.79150309731121
"189","Quadratic-ALC",29,5.75240451547156
"190","Quadratic-ALC",30,5.73342936987521
"191","Quadratic-ALC",31,5.70328177456299
"192","Quadratic-ALC",32,5.65766174316559
"193","Quadratic-ALC",33,5.64562094795422
"194","Quadratic-ALC",34,5.62510568437503
"195","Quadratic-ALC",35,5.60489780046329
"196","Quadratic-ALC",36,5.58304686700597
"197","Quadratic-ALC",37,5.57267881631175
"198","Quadratic-ALC",38,5.54632345437932
"199","Quadratic-ALC",39,5.51636966031557
"200","Quadratic-ALC",40,5.49124126168738
"201","Cubic-ALM",1,79164.0956371819
