"","Method","Sequence","MSE"
"1","Random",1,3.55976287425822
"2","Random",2,3.55976287425822
"3","Random",3,3.55976287425822
"4","Random",4,3.55976287425822
"5","Random",5,3.55976287425822
"6","Random",6,3.55976287425822
"7","Random",7,3.55976287425822
"8","Random",8,3.55976287425822
"9","Random",9,3.55976287425822
"10","Random",10,3.55976287425822
"11","Random",11,3.55976287425822
"12","Random",12,3.55976287425822
"13","Random",13,3.55976287425822
"14","Random",14,3.55976287425822
"15","Random",15,3.55976287425822
"16","Random",16,3.55976287425822
"17","Random",17,3.55976287425822
"18","Random",18,3.55976287425822
"19","Random",19,3.55976287425822
"20","Random",20,3.55976287425822
"21","Random",21,3.55976287425822
"22","Random",22,3.55976287425822
"23","Random",23,3.55976287425822
"24","Random",24,3.55976287425822
"25","Random",25,3.55976287425822
"26","Random",26,3.55976287425822
"27","Random",27,3.55976287425822
"28","Random",28,3.55976287425822
"29","Random",29,3.55976287425822
"30","Random",30,3.55976287425822
"31","Random",31,3.55976287425822
"32","Random",32,3.55976287425822
"33","Random",33,3.55976287425822
"34","Random",34,3.55976287425822
"35","Random",35,3.55976287425822
"36","Random",36,3.55976287425822
"37","Random",37,3.55976287425822
"38","Random",38,3.55976287425822
"39","Random",39,3.55976287425822
"40","Random",40,3.55976287425822
"41","Linear-UCB",1,3.61114912148038
"42","Linear-UCB",2,3.22781395424719
"43","Linear-UCB",3,2.89321689098924
"44","Linear-UCB",4,2.40286272764105
"45","Linear-UCB",5,2.06791375202846
"46","Linear-UCB",6,1.77941298392463
"47","Linear-UCB",7,1.43127495808717
"48","Linear-UCB",8,1.20965049465757
"49","Linear-UCB",9,1.07067769236346
"50","Linear-UCB",10,0.933233091252538
"51","Linear-UCB",11,0.925631433692052
"52","Linear-UCB",12,0.924711704055364
"53","Linear-UCB",13,0.783658363141623
"54","Linear-UCB",14,0.785305853783625
"55","Linear-UCB",15,0.71114747373183
"56","Linear-UCB",16,0.713097949932769
"57","Linear-UCB",17,0.709919372056266
"58","Linear-UCB",18,0.714745440574772
"59","Linear-UCB",19,0.571549654828717
"60","Linear-UCB",20,0.502095553407988
"61","Linear-UCB",21,0.49922534757036
"62","Linear-UCB",22,0.500258787374581
"63","Linear-UCB",23,0.429273598719351
"64","Linear-UCB",24,0.428967919920444
"65","Linear-UCB",25,0.354501167829773
"66","Linear-UCB",26,0.357065694868495
"67","Linear-UCB",27,0.357985424505183
"68","Linear-UCB",28,0.286080506213265
"69","Linear-UCB",29,0.285774827414359
"70","Linear-UCB",30,0.286386185012171
"71","Linear-UCB",31,0.285774827414359
"72","Linear-UCB",32,0.286080506213265
"73","Linear-UCB",33,0.286080506213265
"74","Linear-UCB",34,0.285774827414359
"75","Linear-UCB",35,0.286080506213265
"76","Linear-UCB",36,0.285469148615452
"77","Linear-UCB",37,0.285774827414359
"78","Linear-UCB",38,0.285774827414359
"79","Linear-UCB",39,0.285774827414359
"80","Linear-UCB",40,0.285163469816546
"81","Linear-Thompson",1,2.78277522516557
"82","Linear-Thompson",2,3.20698101774453
"83","Linear-Thompson",3,2.27722353027221
"84","Linear-Thompson",4,2.27457983503193
"85","Linear-Thompson",5,1.7933713790102
"86","Linear-Thompson",6,1.63868872510317
"87","Linear-Thompson",7,1.23085309293718
"88","Linear-Thompson",8,1.20215047738588
"89","Linear-Thompson",9,1.09949112868826
"90","Linear-Thompson",10,1.02489694317427
"91","Linear-Thompson",11,0.987181852558108
"92","Linear-Thompson",12,0.895355474700024
"93","Linear-Thompson",13,0.783949348157412
"94","Linear-Thompson",14,0.585760143511947
"95","Linear-Thompson",15,0.538858663109473
"96","Linear-Thompson",16,0.535312898820717
"97","Linear-Thompson",17,0.510010600469504
"98","Linear-Thompson",18,0.554406544584261
"99","Linear-Thompson",19,0.492408642411365
"100","Linear-Thompson",20,0.532158286693817
"101","Linear-Thompson",21,0.474799750955823
"102","Linear-Thompson",22,0.284436398449146
"103","Linear-Thompson",23,0.296634615697872
"104","Linear-Thompson",24,0.288437032592789
"105","Linear-Thompson",25,0.259809582498574
"106","Linear-Thompson",26,0.26332494671598
"107","Linear-Thompson",27,0.19910039686725
