"","Method","Sequence","MSE"
"1","Random",1,12.1029896004751
"2","Random",2,12.1029896004751
"3","Random",3,12.1029896004751
"4","Random",4,12.1029896004751
"5","Random",5,12.1029896004751
"6","Random",6,12.1029896004751
"7","Random",7,12.1029896004751
"8","Random",8,12.1029896004751
"9","Random",9,12.1029896004751
"10","Random",10,12.1029896004751
"11","Random",11,12.1029896004751
"12","Random",12,12.1029896004751
"13","Random",13,12.1029896004751
"14","Random",14,12.1029896004751
"15","Random",15,12.1029896004751
"16","Random",16,12.1029896004751
"17","Random",17,12.1029896004751
"18","Random",18,12.1029896004751
"19","Random",19,12.1029896004751
"20","Random",20,12.1029896004751
"21","Random",21,12.1029896004751
"22","Random",22,12.1029896004751
"23","Random",23,12.1029896004751
"24","Random",24,12.1029896004751
"25","Random",25,12.1029896004751
"26","Random",26,12.1029896004751
"27","Random",27,12.1029896004751
"28","Random",28,12.1029896004751
"29","Random",29,12.1029896004751
"30","Random",30,12.1029896004751
"31","Random",31,12.1029896004751
"32","Random",32,12.1029896004751
"33","Random",33,12.1029896004751
"34","Random",34,12.1029896004751
"35","Random",35,12.1029896004751
"36","Random",36,12.1029896004751
"37","Random",37,12.1029896004751
"38","Random",38,12.1029896004751
"39","Random",39,12.1029896004751
"40","Random",40,12.1029896004751
"41","Linear-ALM",1,346.367525685123
"42","Linear-ALM",2,21.6359172648067
"43","Linear-ALM",3,10.5966632821439
"44","Linear-ALM",4,6.52684236464703
"45","Linear-ALM",5,5.30378281255229
"46","Linear-ALM",6,4.56381914970776
"47","Linear-ALM",7,4.26296789807487
"48","Linear-ALM",8,4.07263571639793
"49","Linear-ALM",9,4.00862039272627
"50","Linear-ALM",10,3.97485751674683
"51","Linear-ALM",11,3.97272122492982
"52","Linear-ALM",12,3.9860521130294
"53","Linear-ALM",13,4.00528417308606
"54","Linear-ALM",14,4.03238666003563
"55","Linear-ALM",15,4.05109632330505
"56","Linear-ALM",16,4.08075304719627
"57","Linear-ALM",17,4.10191255455086
"58","Linear-ALM",18,4.13787452493434
"59","Linear-ALM",19,4.1610720883817
"60","Linear-ALM",20,4.18586883959779
"61","Linear-ALM",21,4.21082055011233
"62","Linear-ALM",22,4.24602370161442
"63","Linear-ALM",23,4.26550259865756
"64","Linear-ALM",24,4.2928005538945
"65","Linear-ALM",25,4.30785715301321
"66","Linear-ALM",26,4.31845090806144
"67","Linear-ALM",27,4.34990932518067
"68","Linear-ALM",28,4.35895772565668
"69","Linear-ALM",29,4.38982236326502
"70","Linear-ALM",30,4.39717851651422
"71","Linear-ALM",31,4.41966779672721
"72","Linear-ALM",32,4.4382963837779
"73","Linear-ALM",33,4.45963352762378
"74","Linear-ALM",34,4.47640115067227
"75","Linear-ALM",35,4.5036760267526
"76","Linear-ALM",36,4.52125167183266
"77","Linear-ALM",37,4.53947703176385
"78","Linear-ALM",38,4.55585232471228
"79","Linear-ALM",39,4.56996910054185
"80","Linear-ALM",40,4.5845543966131
"81","Linear-ALC",1,333.609347866673
"82","Linear-ALC",2,45.8870917835637
"83","Linear-ALC",3,7.35312668123497
"84","Linear-ALC",4,5.43079160190569
"85","Linear-ALC",5,4.55377024256736
"86","Linear-ALC",6,4.1775123858454
"87","Linear-ALC",7,3.97697673211826
"88","Linear-ALC",8,3.92759514910491
"89","Linear-ALC",9,3.9529718695762
"90","Linear-ALC",10,3.9972086376043
"91","Linear-ALC",11,4.04796412436192
"92","Linear-ALC",12,4.12261480072286
"93","Linear-ALC",13,4.16097756973378
"94","Linear-ALC",14,4.19575969131108
"95","Linear-ALC",15,4.24348180188784
"96","Linear-ALC",16,4.26998652061153
"97","Linear-ALC",17,4.31261057630744
"98","Linear-ALC",18,4.33387712455292
"99","Linear-ALC",19,4.35376036613085
"100","Linear-ALC",20,4.37191895958066
"101","Linear-ALC",21,4.39365666544578
"102","Linear-ALC",22,4.43712704634915
"103","Linear-ALC",23,4.451395532808
"104","Linear-ALC",24,4.45537728849873
"105","Linear-ALC",25,4.47398934638732
"106","Linear-ALC",26,4.47577754745025
"107","Linear-ALC",27,4.49304454299604
"108","Linear-ALC",28,4.5052277752721
"109","Linear-ALC",29,4.51973006927253
