"","Method","Sequence","MSE"
"1","Random",1,3.75222213934098
"2","Random",2,3.75222213934098
"3","Random",3,3.75222213934098
"4","Random",4,3.75222213934098
"5","Random",5,3.75222213934098
"6","Random",6,3.75222213934098
"7","Random",7,3.75222213934098
"8","Random",8,3.75222213934098
"9","Random",9,3.75222213934098
"10","Random",10,3.75222213934098
"11","Random",11,3.75222213934098
"12","Random",12,3.75222213934098
"13","Random",13,3.75222213934098
"14","Random",14,3.75222213934098
"15","Random",15,3.75222213934098
"16","Random",16,3.75222213934098
"17","Random",17,3.75222213934098
"18","Random",18,3.75222213934098
"19","Random",19,3.75222213934098
"20","Random",20,3.75222213934098
"21","Random",21,3.75222213934098
"22","Random",22,3.75222213934098
"23","Random",23,3.75222213934098
"24","Random",24,3.75222213934098
"25","Random",25,3.75222213934098
"26","Random",26,3.75222213934098
"27","Random",27,3.75222213934098
"28","Random",28,3.75222213934098
"29","Random",29,3.75222213934098
"30","Random",30,3.75222213934098
"31","Random",31,3.75222213934098
"32","Random",32,3.75222213934098
"33","Random",33,3.75222213934098
"34","Random",34,3.75222213934098
"35","Random",35,3.75222213934098
"36","Random",36,3.75222213934098
"37","Random",37,3.75222213934098
"38","Random",38,3.75222213934098
"39","Random",39,3.75222213934098
"40","Random",40,3.75222213934098
"41","Linear-UCB",1,2.61931313900443
"42","Linear-UCB",2,2.65082778547566
"43","Linear-UCB",3,2.69973792671534
"44","Linear-UCB",4,2.7019178153935
"45","Linear-UCB",5,2.70152876849844
"46","Linear-UCB",6,2.71668528280853
"47","Linear-UCB",7,2.68578942607692
"48","Linear-UCB",8,2.70683104594704
"49","Linear-UCB",9,2.7060843988682
"50","Linear-UCB",10,2.67733775178935
"51","Linear-UCB",11,2.66545599915048
"52","Linear-UCB",12,2.66662266581715
"53","Linear-UCB",13,2.65479268540498
"54","Linear-UCB",14,2.65264347575221
"55","Linear-UCB",15,2.6374976190206
"56","Linear-UCB",16,2.65558095235393
"57","Linear-UCB",17,2.61881014241888
"58","Linear-UCB",18,2.60891428568727
"59","Linear-UCB",19,2.61535176228899
"60","Linear-UCB",20,2.60951842895566
"61","Linear-UCB",21,2.6077476190206
"62","Linear-UCB",22,2.61881014241888
"63","Linear-UCB",23,2.61981349534003
"64","Linear-UCB",24,2.6217476190206
"65","Linear-UCB",25,2.60658095235393
"66","Linear-UCB",26,2.60893509562232
"67","Linear-UCB",27,2.61777786930832
"68","Linear-UCB",28,2.60660176228899
"69","Linear-UCB",29,2.63175705937326
"70","Linear-UCB",30,2.61952786930832
"71","Linear-UCB",31,2.61663750540305
"72","Linear-UCB",32,2.60835176228899
"73","Linear-UCB",33,2.6174801620067
"74","Linear-UCB",34,2.62058095235393
"75","Linear-UCB",35,2.60483095235393
"76","Linear-UCB",36,2.60835176228899
"77","Linear-UCB",37,2.62293509562232
"78","Linear-UCB",38,2.60776842895566
"79","Linear-UCB",39,2.61806349534003
"80","Linear-UCB",40,2.60718509562232
"81","Linear-Thompson",1,2.47763614984104
"82","Linear-Thompson",2,2.46946433331943
"83","Linear-Thompson",3,2.48096358285433
"84","Linear-Thompson",4,2.41289881286126
"85","Linear-Thompson",5,2.42642342372003
"86","Linear-Thompson",6,2.50931803293131
"87","Linear-Thompson",7,2.61117052177187
"88","Linear-Thompson",8,2.37553676174203
