"","Method","Sequence","MSE"
"1","Random",1,15.1602319726711
"2","Random",2,15.1602319726711
"3","Random",3,15.1602319726711
"4","Random",4,15.1602319726711
"5","Random",5,15.1602319726711
"6","Random",6,15.1602319726711
"7","Random",7,15.1602319726711
"8","Random",8,15.1602319726711
"9","Random",9,15.1602319726711
"10","Random",10,15.1602319726711
"11","Random",11,15.1602319726711
"12","Random",12,15.1602319726711
"13","Random",13,15.1602319726711
"14","Random",14,15.1602319726711
"15","Random",15,15.1602319726711
"16","Random",16,15.1602319726711
"17","Random",17,15.1602319726711
"18","Random",18,15.1602319726711
"19","Random",19,15.1602319726711
"20","Random",20,15.1602319726711
"21","Random",21,15.1602319726711
"22","Random",22,15.1602319726711
"23","Random",23,15.1602319726711
"24","Random",24,15.1602319726711
"25","Random",25,15.1602319726711
"26","Random",26,15.1602319726711
"27","Random",27,15.1602319726711
"28","Random",28,15.1602319726711
"29","Random",29,15.1602319726711
"30","Random",30,15.1602319726711
"31","Random",31,15.1602319726711
"32","Random",32,15.1602319726711
"33","Random",33,15.1602319726711
"34","Random",34,15.1602319726711
"35","Random",35,15.1602319726711
"36","Random",36,15.1602319726711
"37","Random",37,15.1602319726711
"38","Random",38,15.1602319726711
"39","Random",39,15.1602319726711
"40","Random",40,15.1602319726711
"41","Linear-ALM",1,178.089610823785
"42","Linear-ALM",2,37.6858375928318
"43","Linear-ALM",3,32.8348808920988
"44","Linear-ALM",4,31.3610649281209
"45","Linear-ALM",5,30.6752447008696
"46","Linear-ALM",6,30.5218330757458
"47","Linear-ALM",7,30.1671452121443
"48","Linear-ALM",8,30.132368682492
"49","Linear-ALM",9,30.0172635037907
"50","Linear-ALM",10,29.8197279039189
"51","Linear-ALM",11,29.8597939961914
"52","Linear-ALM",12,29.7191106965777
"53","Linear-ALM",13,29.5242730458803
"54","Linear-ALM",14,29.4611760663102
"55","Linear-ALM",15,29.4595257226617
"56","Linear-ALM",16,29.4066248769799
"57","Linear-ALM",17,29.4440233869736
"58","Linear-ALM",18,29.5254250402124
"59","Linear-ALM",19,29.5429176322946
"60","Linear-ALM",20,29.5534600441507
"61","Linear-ALM",21,29.4251385228359
"62","Linear-ALM",22,29.4057439727349
"63","Linear-ALM",23,29.4243249301271
"64","Linear-ALM",24,29.4329387860622
"65","Linear-ALM",25,29.413706497452
"66","Linear-ALM",26,29.4031892922097
"67","Linear-ALM",27,29.3946743544058
"68","Linear-ALM",28,29.4232590184792
"69","Linear-ALM",29,29.4589321302181
"70","Linear-ALM",30,29.4283439789203
"71","Linear-ALM",31,29.4730587033167
"72","Linear-ALM",32,29.5076911586022
"73","Linear-ALM",33,29.5065879951089
"74","Linear-ALM",34,29.5546696062096
"75","Linear-ALM",35,29.5771884372745
"76","Linear-ALM",36,29.5711079567506
"77","Linear-ALM",37,29.5586719497594
"78","Linear-ALM",38,29.5626188104335
"79","Linear-ALM",39,29.6098431926139
"80","Linear-ALM",40,29.5988638081308
"81","Linear-ALC",1,98.9409969905728
"82","Linear-ALC",2,44.090892061032
"83","Linear-ALC",3,35.6013579106897
"84","Linear-ALC",4,32.9615514431185
"85","Linear-ALC",5,31.3048499319958
"86","Linear-ALC",6,29.9806787473131
"87","Linear-ALC",7,28.7053396054915
"88","Linear-ALC",8,27.6537902724941
"89","Linear-ALC",9,26.8262580710741
"90","Linear-ALC",10,26.0259821596469
"91","Linear-ALC",11,25.2367650839882
"92","Linear-ALC",12,24.5087362935076
"93","Linear-ALC",13,23.7520957429947
