"","Method","Sequence","MSE"
"1","Random",1,3.71898361689411
"2","Random",2,3.71898361689411
"3","Random",3,3.71898361689411
"4","Random",4,3.71898361689411
"5","Random",5,3.71898361689411
"6","Random",6,3.71898361689411
"7","Random",7,3.71898361689411
"8","Random",8,3.71898361689411
"9","Random",9,3.71898361689411
"10","Random",10,3.71898361689411
"11","Random",11,3.71898361689411
"12","Random",12,3.71898361689411
"13","Random",13,3.71898361689411
"14","Random",14,3.71898361689411
"15","Random",15,3.71898361689411
"16","Random",16,3.71898361689411
"17","Random",17,3.71898361689411
"18","Random",18,3.71898361689411
"19","Random",19,3.71898361689411
"20","Random",20,3.71898361689411
"21","Random",21,3.71898361689411
"22","Random",22,3.71898361689411
"23","Random",23,3.71898361689411
"24","Random",24,3.71898361689411
"25","Random",25,3.71898361689411
"26","Random",26,3.71898361689411
"27","Random",27,3.71898361689411
"28","Random",28,3.71898361689411
"29","Random",29,3.71898361689411
"30","Random",30,3.71898361689411
"31","Random",31,3.71898361689411
"32","Random",32,3.71898361689411
"33","Random",33,3.71898361689411
"34","Random",34,3.71898361689411
"35","Random",35,3.71898361689411
"36","Random",36,3.71898361689411
"37","Random",37,3.71898361689411
"38","Random",38,3.71898361689411
"39","Random",39,3.71898361689411
"40","Random",40,3.71898361689411
"41","Linear-UCB",1,7.360609
"42","Linear-UCB",2,7.398119
"43","Linear-UCB",3,7.458104
"44","Linear-UCB",4,7.450137
"45","Linear-UCB",5,7.482687
"46","Linear-UCB",6,7.515268
"47","Linear-UCB",7,7.503302
"48","Linear-UCB",8,7.455748
"49","Linear-UCB",9,7.499365
"50","Linear-UCB",10,7.513408
"51","Linear-UCB",11,7.444092
"52","Linear-UCB",12,7.466226
"53","Linear-UCB",13,7.475123
"54","Linear-UCB",14,7.509378
"55","Linear-UCB",15,7.510525
"56","Linear-UCB",16,7.481509
"57","Linear-UCB",17,7.480331
"58","Linear-UCB",18,7.553553
"59","Linear-UCB",19,7.562016
"60","Linear-UCB",20,7.525498
"61","Linear-UCB",21,7.531636
"62","Linear-UCB",22,7.493041
"63","Linear-UCB",23,7.508014
"64","Linear-UCB",24,7.505999
"65","Linear-UCB",25,7.531574
"66","Linear-UCB",26,7.509657
"67","Linear-UCB",27,7.517345
"68","Linear-UCB",28,7.467218
"69","Linear-UCB",29,7.511207
"70","Linear-UCB",30,7.447006
"71","Linear-UCB",31,7.471868
"72","Linear-UCB",32,7.528195
"73","Linear-UCB",33,7.495862
"74","Linear-UCB",34,7.495428
"75","Linear-UCB",35,7.517717
"76","Linear-UCB",36,7.56214
"77","Linear-UCB",37,7.489476
"78","Linear-UCB",38,7.47751
"79","Linear-UCB",39,7.550794
"80","Linear-UCB",40,7.501566
"81","Linear-Thompson",1,6.429121
"82","Linear-Thompson",2,6.128514
"83","Linear-Thompson",3,5.676534
"84","Linear-Thompson",4,5.8342
"85","Linear-Thompson",5,5.868641
"86","Linear-Thompson",6,5.82397
"87","Linear-Thompson",7,5.57039
"88","Linear-Thompson",8,5.537809
"89","Linear-Thompson",9,5.096617
"90","Linear-Thompson",10,5.177217
"91","Linear-Thompson",11,5.161872
"92","Linear-Thompson",12,5.229731
"93","Linear-Thompson",13,5.473112
"94","Linear-Thompson",14,5.163422
"95","Linear-Thompson",15,5.567383
"96","Linear-Thompson",16,5.300814
"97","Linear-Thompson",17,5.150774
"98","Linear-Thompson",18,5.122223
"99","Linear-Thompson",19,5.301217
"100","Linear-Thompson",20,4.964774
"101","Linear-Thompson",21,4.98728
"102","Linear-Thompson",22,5.404943
"103","Linear-Thompson",23,5.038895
"104","Linear-Thompson",24,4.871929
"105","Linear-Thompson",25,4.975345
"106","Linear-Thompson",26,5.032602
"107","Linear-Thompson",27,5.023085
"108","Linear-Thompson",28,5.039391
"109","Linear-Thompson",29,5.48483
"110","Linear-Thompson",30,5.066051
