"","Method","Sequence","MSE"
"1","Random",1,15.3654120655412
"2","Random",2,15.3654120655412
"3","Random",3,15.3654120655412
"4","Random",4,15.3654120655412
"5","Random",5,15.3654120655412
"6","Random",6,15.3654120655412
"7","Random",7,15.3654120655412
"8","Random",8,15.3654120655412
"9","Random",9,15.3654120655412
"10","Random",10,15.3654120655412
"11","Random",11,15.3654120655412
"12","Random",12,15.3654120655412
"13","Random",13,15.3654120655412
"14","Random",14,15.3654120655412
"15","Random",15,15.3654120655412
"16","Random",16,15.3654120655412
"17","Random",17,15.3654120655412
"18","Random",18,15.3654120655412
"19","Random",19,15.3654120655412
"20","Random",20,15.3654120655412
"21","Random",21,15.3654120655412
"22","Random",22,15.3654120655412
"23","Random",23,15.3654120655412
"24","Random",24,15.3654120655412
"25","Random",25,15.3654120655412
"26","Random",26,15.3654120655412
"27","Random",27,15.3654120655412
"28","Random",28,15.3654120655412
"29","Random",29,15.3654120655412
"30","Random",30,15.3654120655412
"31","Random",31,15.3654120655412
"32","Random",32,15.3654120655412
"33","Random",33,15.3654120655412
"34","Random",34,15.3654120655412
"35","Random",35,15.3654120655412
"36","Random",36,15.3654120655412
"37","Random",37,15.3654120655412
"38","Random",38,15.3654120655412
"39","Random",39,15.3654120655412
"40","Random",40,15.3654120655412
"41","Linear-ALM",1,65.3730834919986
"42","Linear-ALM",2,25.4896557854858
"43","Linear-ALM",3,19.7806240950457
"44","Linear-ALM",4,18.1683779293741
"45","Linear-ALM",5,16.7601895928433
"46","Linear-ALM",6,16.1325921627248
"47","Linear-ALM",7,15.7082252991987
"48","Linear-ALM",8,15.557800160461
"49","Linear-ALM",9,15.4501914508696
"50","Linear-ALM",10,15.2926113406427
"51","Linear-ALM",11,15.1650161815675
"52","Linear-ALM",12,15.0920516745398
"53","Linear-ALM",13,15.069569407003
"54","Linear-ALM",14,15.0280175931515
"55","Linear-ALM",15,15.0122778881293
"56","Linear-ALM",16,14.8887807482222
"57","Linear-ALM",17,14.7897075580052
"58","Linear-ALM",18,14.7419041645467
"59","Linear-ALM",19,14.7956473925473
"60","Linear-ALM",20,14.735849516621
"61","Linear-ALM",21,14.6975127245155
"62","Linear-ALM",22,14.6753407010752
"63","Linear-ALM",23,14.660040800773
"64","Linear-ALM",24,14.6905152670337
"65","Linear-ALM",25,14.6599173837776
"66","Linear-ALM",26,14.6607259136365
"67","Linear-ALM",27,14.6329898850756
"68","Linear-ALM",28,14.6252599471172
"69","Linear-ALM",29,14.637179448442
"70","Linear-ALM",30,14.6054375872474
"71","Linear-ALM",31,14.6059128540248
"72","Linear-ALM",32,14.5769280033976
"73","Linear-ALM",33,14.5757765099539
"74","Linear-ALM",34,14.5909769901013
"75","Linear-ALM",35,14.5531709043764
"76","Linear-ALM",36,14.529856194563
"77","Linear-ALM",37,14.5284786919059
"78","Linear-ALM",38,14.5007366420965
"79","Linear-ALM",39,14.4811738088289
"80","Linear-ALM",40,14.46984086246
"81","Linear-ALC",1,51.8002574457146
"82","Linear-ALC",2,33.3991156893836
"83","Linear-ALC",3,22.0335142559327
"84","Linear-ALC",4,19.2346053730601
"85","Linear-ALC",5,17.7704031909851
"86","Linear-ALC",6,16.5331127600174
"87","Linear-ALC",7,15.5196234600343
"88","Linear-ALC",8,14.8669343517092
"89","Linear-ALC",9,14.2887716095053
"90","Linear-ALC",10,13.838040718661
"91","Linear-ALC",11,13.3864013342404
"92","Linear-ALC",12,13.0410743369299
"93","Linear-ALC",13,12.6673266959786
"94","Linear-ALC",14,12.3120222716601
"95","Linear-ALC",15,12.1137383399383
"96","Linear-ALC",16,11.9188475708099
"97","Linear-ALC",17,11.7112515906056
"98","Linear-ALC",18,11.5368347399095
"99","Linear-ALC",19,11.3810298126938
"100","Linear-ALC",20,11.2677170046598
"101","Linear-ALC",21,11.1259482795209
"102","Linear-ALC",22,10.976479960534
"103","Linear-ALC",23,10.8433041125505
"104","Linear-ALC",24,10.7543998409463
"105","Linear-ALC",25,10.6530339930695
"106","Linear-ALC",26,10.4796106534025
"107","Linear-ALC",27,10.3272315265053
"108","Linear-ALC",28,10.1855601076442
"109","Linear-ALC",29,10.1046300682891
"110","Linear-ALC",30,10.0486084414251
"111","Linear-ALC",31,9.94258383534475
"112","Linear-ALC",32,9.86723719478625
"113","Linear-ALC",33,9.77077513226409
"114","Linear-ALC",34,9.73032073665359
"115","Linear-ALC",35,9.66774312687934
"116","Linear-ALC",36,9.60697344300759
"117","Linear-ALC",37,9.51716431473003
"118","Linear-ALC",38,9.48139928615383
"119","Linear-ALC",39,9.450788197953
"120","Linear-ALC",40,9.40181631591084
"121","Quadratic-ALM",1,4863.73835377077
"122","Quadratic-ALM",2,28.1902188440018
"123","Quadratic-ALM",3,26.1194591491224
"124","Quadratic-ALM",4,25.0273759438959
"125","Quadratic-ALM",5,24.4026272026676
"126","Quadratic-ALM",6,23.3124387472847
"127","Quadratic-ALM",7,22.8119617038153
"128","Quadratic-ALM",8,22.4911100835622
"129","Quadratic-ALM",9,22.2559611729858
"130","Quadratic-ALM",10,22.2068237501678
"131","Quadratic-ALM",11,21.8259651544165
"132","Quadratic-ALM",12,21.6822156867305
"133","Quadratic-ALM",13,21.5986345516888
"134","Quadratic-ALM",14,21.4906498250741
"135","Quadratic-ALM",15,21.4203913433831
"136","Quadratic-ALM",16,21.3417198886461
"137","Quadratic-ALM",17,21.2674946655442
"138","Quadratic-ALM",18,21.0637136466476
"139","Quadratic-ALM",19,21.0551849160155
"140","Quadratic-ALM",20,20.951031989571
"141","Quadratic-ALM",21,20.8755748097301
"142","Quadratic-ALM",22,20.8995805359889
"143","Quadratic-ALM",23,20.7982550216699
"144","Quadratic-ALM",24,20.8299745094909
"145","Quadratic-ALM",25,20.8778016798326
"146","Quadratic-ALM",26,20.7995960096365
"147","Quadratic-ALM",27,20.7341383987323
"148","Quadratic-ALM",28,20.735322593034
"149","Quadratic-ALM",29,20.677647142409
"150","Quadratic-ALM",30,20.6327714205312
"151","Quadratic-ALM",31,20.5977028866195
"152","Quadratic-ALM",32,20.6265619456381
"153","Quadratic-ALM",33,20.6369603917815
"154","Quadratic-ALM",34,20.6332468658858
"155","Quadratic-ALM",35,20.6141999816793
"156","Quadratic-ALM",36,20.584832960696
"157","Quadratic-ALM",37,20.5826351113722
"158","Quadratic-ALM",38,20.5925759375884
"159","Quadratic-ALM",39,20.6087584755991
"160","Quadratic-ALM",40,20.6093128224195
"161","Quadratic-ALC",1,361143.609249168
"162","Quadratic-ALC",2,1997.36444861038
