"","Method","Sequence","MSE"
"1","Random",1,4.91410960661807
"2","Random",2,4.91410960661807
"3","Random",3,4.91410960661807
"4","Random",4,4.91410960661807
"5","Random",5,4.91410960661807
"6","Random",6,4.91410960661807
"7","Random",7,4.91410960661807
"8","Random",8,4.91410960661807
"9","Random",9,4.91410960661807
"10","Random",10,4.91410960661807
"11","Random",11,4.91410960661807
"12","Random",12,4.91410960661807
"13","Random",13,4.91410960661807
"14","Random",14,4.91410960661807
"15","Random",15,4.91410960661807
"16","Random",16,4.91410960661807
"17","Random",17,4.91410960661807
"18","Random",18,4.91410960661807
"19","Random",19,4.91410960661807
"20","Random",20,4.91410960661807
"21","Random",21,4.91410960661807
"22","Random",22,4.91410960661807
"23","Random",23,4.91410960661807
"24","Random",24,4.91410960661807
"25","Random",25,4.91410960661807
"26","Random",26,4.91410960661807
"27","Random",27,4.91410960661807
"28","Random",28,4.91410960661807
"29","Random",29,4.91410960661807
"30","Random",30,4.91410960661807
"31","Random",31,4.91410960661807
"32","Random",32,4.91410960661807
"33","Random",33,4.91410960661807
"34","Random",34,4.91410960661807
"35","Random",35,4.91410960661807
"36","Random",36,4.91410960661807
"37","Random",37,4.91410960661807
"38","Random",38,4.91410960661807
"39","Random",39,4.91410960661807
"40","Random",40,4.91410960661807
"41","Linear-UCB",1,7.01205679680317
"42","Linear-UCB",2,6.67902814860149
"43","Linear-UCB",3,6.48883095666792
"44","Linear-UCB",4,6.33853730841532
"45","Linear-UCB",5,5.96080335582587
"46","Linear-UCB",6,5.94193992713455
"47","Linear-UCB",7,5.76721491767344
"48","Linear-UCB",8,5.79327031481535
"49","Linear-UCB",9,5.84598905930397
"50","Linear-UCB",10,5.76730317808339
"51","Linear-UCB",11,5.79276717035785
"52","Linear-UCB",12,5.80632140863408
"53","Linear-UCB",13,5.80736981676692
"54","Linear-UCB",14,5.76891496900179
"55","Linear-UCB",15,5.73033728154655
"56","Linear-UCB",16,5.72998215863352
"57","Linear-UCB",17,5.78200090755841
"58","Linear-UCB",18,5.6710856604542
"59","Linear-UCB",19,5.72276758594663
"60","Linear-UCB",20,5.74619409571383
"61","Linear-UCB",21,5.67827494404213
"62","Linear-UCB",22,5.65269271457781
"63","Linear-UCB",23,5.66471786058785
"64","Linear-UCB",24,5.65283533374445
"65","Linear-UCB",25,5.65255009541117
"66","Linear-UCB",26,5.65297652790752
"67","Linear-UCB",27,5.65297652790752
"68","Linear-UCB",28,5.66450535684146
"69","Linear-UCB",29,5.69176529410558
"70","Linear-UCB",30,5.65255009541117
"71","Linear-UCB",31,5.65319045665748
"72","Linear-UCB",32,5.65276402416113
"73","Linear-UCB",33,5.6532617662408
"74","Linear-UCB",34,5.65340438540743
"75","Linear-UCB",35,5.65304926249441
"76","Linear-UCB",36,5.67863149195872
"77","Linear-UCB",37,5.65814737780789
"78","Linear-UCB",38,5.66528691225083
"79","Linear-UCB",39,5.69045692416674
"80","Linear-UCB",40,5.67194827618977
"81","Linear-Thompson",1,5.99836004934103
"82","Linear-Thompson",2,5.94870562818159
"83","Linear-Thompson",3,5.65118496962689
"84","Linear-Thompson",4,5.63841814131127
"85","Linear-Thompson",5,5.6558814519889
"86","Linear-Thompson",6,5.50051821001843
"87","Linear-Thompson",7,5.60088769314834
"88","Linear-Thompson",8,5.44005870028743
"89","Linear-Thompson",9,5.6590898685916
"90","Linear-Thompson",10,5.34044629183653
"91","Linear-Thompson",11,5.29661850010351
"92","Linear-Thompson",12,5.60280821956734
"93","Linear-Thompson",13,5.35407250202337
"94","Linear-Thompson",14,5.27475316381298
"95","Linear-Thompson",15,5.55453347228457
"96","Linear-Thompson",16,5.39841243457801
"97","Linear-Thompson",17,5.26988194851416
"98","Linear-Thompson",18,5.51674910164904
"99","Linear-Thompson",19,5.42340548086697
"100","Linear-Thompson",20,5.56824013740627
"101","Linear-Thompson",21,5.50651915249275
"102","Linear-Thompson",22,5.68190521998527
"103","Linear-Thompson",23,5.49345644339348
"104","Linear-Thompson",24,5.2761821900766
"105","Linear-Thompson",25,5.43652604474217
"106","Linear-Thompson",26,5.26443105076667
"107","Linear-Thompson",27,5.35862101056764
"108","Linear-Thompson",28,5.30435179848644
"109","Linear-Thompson",29,5.45471937081023
"110","Linear-Thompson",30,5.54406183633254
"111","Linear-Thompson",31,5.42320826351526
"112","Linear-Thompson",32,5.4582902459412
"113","Linear-Thompson",33,5.47996381671769
"114","Linear-Thompson",34,5.22407336719178
"115","Linear-Thompson",35,5.57361649352794
"116","Linear-Thompson",36,5.59795655324052
"117","Linear-Thompson",37,5.53252433395426
"118","Linear-Thompson",38,5.36408711808728
"119","Linear-Thompson",39,5.5362022587732
"120","Linear-Thompson",40,5.23313958084554
"121","Quadratic-UCB",1,6.85378161680694
"122","Quadratic-UCB",2,7.07860835006024
"123","Quadratic-UCB",3,6.66436081649851
"124","Quadratic-UCB",4,6.26633318696321
"125","Quadratic-UCB",5,6.20383050638304
"126","Quadratic-UCB",6,6.15896813735889
"127","Quadratic-UCB",7,6.18272852293504
"128","Quadratic-UCB",8,5.9804617897452
"129","Quadratic-UCB",9,5.85188017394947
"130","Quadratic-UCB",10,5.87954897749229
"131","Quadratic-UCB",11,5.77841976644754
"132","Quadratic-UCB",12,5.92814793958382
"133","Quadratic-UCB",13,5.84934391951985
"134","Quadratic-UCB",14,5.73027690669312
"135","Quadratic-UCB",15,5.7054441215903
"136","Quadratic-UCB",16,5.64626987905624
"137","Quadratic-UCB",17,5.79402397280849
"138","Quadratic-UCB",18,5.70089356674817
"139","Quadratic-UCB",19,5.70766915486303
"140","Quadratic-UCB",20,5.59613914684495
"141","Quadratic-UCB",21,5.67506073772886
"142","Quadratic-UCB",22,5.60941879664171
"143","Quadratic-UCB",23,5.61906557119595
"144","Quadratic-UCB",24,5.66540216618729
"145","Quadratic-UCB",25,5.69949213542973
"146","Quadratic-UCB",26,5.62903932140327
"147","Quadratic-UCB",27,5.66145772295192
"148","Quadratic-UCB",28,5.63577449261119
"149","Quadratic-UCB",29,5.66153691529881
"150","Quadratic-UCB",30,5.61230032221546
"151","Quadratic-UCB",31,5.609903890228
"152","Quadratic-UCB",32,5.64264459696157
"153","Quadratic-UCB",33,5.64859467239387
"154","Quadratic-UCB",34,5.660143682178
"155","Quadratic-UCB",35,5.5125817672956
"156","Quadratic-UCB",36,5.57586783945336
"157","Quadratic-UCB",37,5.55596663294271
"158","Quadratic-UCB",38,5.63283193910948
"159","Quadratic-UCB",39,5.55401845875475
"160","Quadratic-UCB",40,5.55095930903752
"161","Quadratic-Thompson",1,6.15614842975445
"162","Quadratic-Thompson",2,6.13995439072055
"163","Quadratic-Thompson",3,5.81431153382244
"164","Quadratic-Thompson",4,6.00764692186649
"165","Quadratic-Thompson",5,5.93349586263773
"166","Quadratic-Thompson",6,5.91881475994188
"167","Quadratic-Thompson",7,5.91598974625133
"168","Quadratic-Thompson",8,5.69079703830285
"169","Quadratic-Thompson",9,5.42285426839168
"170","Quadratic-Thompson",10,5.74941238305531
"171","Quadratic-Thompson",11,5.76365765495598
"172","Quadratic-Thompson",12,5.33000336642757
"173","Quadratic-Thompson",13,5.56654278796625
"174","Quadratic-Thompson",14,5.78049898257581
"175","Quadratic-Thompson",15,5.49218238246133
"176","Quadratic-Thompson",16,5.49835326643155
"177","Quadratic-Thompson",17,5.31964136235474
"178","Quadratic-Thompson",18,5.17375503513971
"179","Quadratic-Thompson",19,5.36440528864495
"180","Quadratic-Thompson",20,5.21203973415793
"181","Quadratic-Thompson",21,5.23428421409497
"182","Quadratic-Thompson",22,5.37971078885574
"183","Quadratic-Thompson",23,5.28018765292592
"184","Quadratic-Thompson",24,5.32740156779012
"185","Quadratic-Thompson",25,5.15095248401387
"186","Quadratic-Thompson",26,5.32648371944262
"187","Quadratic-Thompson",27,5.03451466866598
"188","Quadratic-Thompson",28,5.42553177793455
"189","Quadratic-Thompson",29,5.03938237957342
"190","Quadratic-Thompson",30,5.331646891822
"191","Quadratic-Thompson",31,4.89417694464522
"192","Quadratic-Thompson",32,5.212722644556
"193","Quadratic-Thompson",33,5.06909122309126
"194","Quadratic-Thompson",34,5.11599909771235
"195","Quadratic-Thompson",35,5.01492818645551
"196","Quadratic-Thompson",36,5.04841898077559
"197","Quadratic-Thompson",37,4.91256369557047
"198","Quadratic-Thompson",38,5.10555919815494
"199","Quadratic-Thompson",39,5.05947259404547
"200","Quadratic-Thompson",40,4.93990448873829
"201","Cubic-UCB",1,7.26166516347531
"202","Cubic-UCB",2,6.58741384906168
"203","Cubic-UCB",3,5.57622976388034
"204","Cubic-UCB",4,5.30333991043855
"205","Cubic-UCB",5,5.32150161676378
"206","Cubic-UCB",6,4.83407452644164
"207","Cubic-UCB",7,4.85279636078391
"208","Cubic-UCB",8,4.68685437356268
"209","Cubic-UCB",9,4.67044165868321
"210","Cubic-UCB",10,4.63587937093463
"211","Cubic-UCB",11,4.48200051534462
"212","Cubic-UCB",12,4.43530561480173
"213","Cubic-UCB",13,4.40990643840616
"214","Cubic-UCB",14,4.32118342322337
"215","Cubic-UCB",15,4.12667346623868
"216","Cubic-UCB",16,4.08852444827608
"217","Cubic-UCB",17,4.11130877834582
"218","Cubic-UCB",18,4.10924106498958
"219","Cubic-UCB",19,4.08359914997043
"220","Cubic-UCB",20,4.05462711289625
"221","Cubic-UCB",21,3.93577254371874
"222","Cubic-UCB",22,3.94622962844848
"223","Cubic-UCB",23,4.01241588430861
"224","Cubic-UCB",24,3.80581578849286
"225","Cubic-UCB",25,3.86457503877181
"226","Cubic-UCB",26,3.85908776602657
"227","Cubic-UCB",27,3.86099239307893
"228","Cubic-UCB",28,3.86311875895235
"229","Cubic-UCB",29,3.73380420020208
"230","Cubic-UCB",30,3.72186977494896
"231","Cubic-UCB",31,3.69889913050227
"232","Cubic-UCB",32,3.70673946586616
"233","Cubic-UCB",33,3.65486696677362
"234","Cubic-UCB",34,3.61886622070146
"235","Cubic-UCB",35,3.63100114391869
"236","Cubic-UCB",36,3.7433466151043
"237","Cubic-UCB",37,3.59838821744801
"238","Cubic-UCB",38,3.55921650964023
"239","Cubic-UCB",39,3.50621679981442
"240","Cubic-UCB",40,3.58171526511278
"241","Cubic-Thompson",1,6.43298043714332
"242","Cubic-Thompson",2,5.40678871584302
"243","Cubic-Thompson",3,5.25004698454144
"244","Cubic-Thompson",4,5.08159573406706
"245","Cubic-Thompson",5,4.80412240998
"246","Cubic-Thompson",6,4.15346343541384
"247","Cubic-Thompson",7,3.97825476585698
"248","Cubic-Thompson",8,4.32759726256015
"249","Cubic-Thompson",9,4.29209453748168
"250","Cubic-Thompson",10,3.91465241676414
"251","Cubic-Thompson",11,3.94626225354343
"252","Cubic-Thompson",12,3.76753383797285
"253","Cubic-Thompson",13,3.88389486587866
"254","Cubic-Thompson",14,3.59342107646002
"255","Cubic-Thompson",15,3.76276548816939
"256","Cubic-Thompson",16,3.56455062899926
"257","Cubic-Thompson",17,3.41899215403846
"258","Cubic-Thompson",18,3.44082805813655
"259","Cubic-Thompson",19,3.38893063917655
"260","Cubic-Thompson",20,3.39668353161773
"261","Cubic-Thompson",21,3.42383883765711
"262","Cubic-Thompson",22,3.20944040193183
"263","Cubic-Thompson",23,3.41580297072761
"264","Cubic-Thompson",24,3.32267522157406
"265","Cubic-Thompson",25,3.17923450452489
"266","Cubic-Thompson",26,3.39846913903375
"267","Cubic-Thompson",27,3.20847841090381
"268","Cubic-Thompson",28,3.26022381655808
"269","Cubic-Thompson",29,3.28556916891002
"270","Cubic-Thompson",30,3.27905275004979
"271","Cubic-Thompson",31,3.13484211977323
"272","Cubic-Thompson",32,3.24759528550549
"273","Cubic-Thompson",33,3.1661779125375
"274","Cubic-Thompson",34,3.1762058492581
"275","Cubic-Thompson",35,3.16604917960738
"276","Cubic-Thompson",36,3.14505547586056
"277","Cubic-Thompson",37,3.04680417677431
"278","Cubic-Thompson",38,3.02942104876688
"279","Cubic-Thompson",39,3.09730365353803
"280","Cubic-Thompson",40,3.14413097867264
"281","Tree-UCB",1,5.25423476396725
"282","Tree-UCB",2,5.0841192737249
"283","Tree-UCB",3,5.32957044723478
"284","Tree-UCB",4,5.19063704385975
"285","Tree-UCB",5,5.19718711914158
"286","Tree-UCB",6,5.26296661861841
"287","Tree-UCB",7,4.94003907084231
"288","Tree-UCB",8,4.9956294738787
"289","Tree-UCB",9,5.12217735822436
"290","Tree-UCB",10,5.38049651351962
"291","Tree-UCB",11,5.23081104616124
"292","Tree-UCB",12,5.1477912764598
"293","Tree-UCB",13,5.3510654162737
"294","Tree-UCB",14,4.98484503817185
"295","Tree-UCB",15,5.32803600392552
"296","Tree-UCB",16,5.23715580433329
"297","Tree-UCB",17,4.90839761962944
"298","Tree-UCB",18,5.22094587473998
"299","Tree-UCB",19,5.41819849275511
"300","Tree-UCB",20,4.90904238592593
"301","Tree-UCB",21,4.61760753485798
"302","Tree-UCB",22,4.41350567501599
